Manufacturer,Name of systems,Edge Type,Fire Rating (ISO 5660 P1&2),STC (ASTM E413),Rw (dB - EN ISO 10848),IIC (ASTM E989),Name of Lining,Thickness (mm),Width (mm),Length (mm),Weight (kg/sqm),Top Cross Rails Type,Furring Channels Type,Top Cross Rails Capacity (N),Top Cross Rails Weight (kg/m),Top Cross Rails Spacing (mm),Furring Channel Capacity (N),Furring Channel Weight (kg/m),Furring Channel Spacing (mm),Perimeter Restraint,Perimeter Restraint Capacity (N),Lining index,Grids Index
Not Specified ,Not Specified ,Not Specified ,0,0,0,0,Not Specified ,13,1200,2400,11,Not Specified ,Not Specified ,950,0.378,1200,650,0.468,600,Not Specified ,1300,Nan,Nan
GIB,Fyreline GBSC 30,TE/TE,30/30/30,48,47,43,1 x 13mm GIB Fyreline,13,1200,2400,11,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,58,2
GIB,Fyreline GBSC 30,TE/TE,30/30/30,48,47,43,1 x 13mm GIB Fyreline,13,1200,2700,11,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,59,2
GIB,Fyreline GBSC 30,TE/TE,30/30/30,48,47,43,1 x 13mm GIB Fyreline,13,1200,3000,11,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,60,2
GIB,Fyreline GBSC 30,TE/TE,30/30/30,48,47,43,1 x 13mm GIB Fyreline,13,1200,3300,11,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,61,2
GIB,Fyreline GBSC 30,TE/TE,30/30/30,48,47,43,1 x 13mm GIB Fyreline,13,1200,3600,11,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,62,2
GIB,Fyreline GBSC 60a,TE/TE,60/60/60,53,52,43,2 x 13mm GIB Fyreline,13/13,1200,2400,22,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,63,2
GIB,Fyreline GBSC 60a,TE/TE,60/60/60,53,52,43,2 x 13mm GIB Fyreline,13/13,1200,2700,22,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,64,2
GIB,Fyreline GBSC 60a,TE/TE,60/60/60,53,52,43,2 x 13mm GIB Fyreline,13/13,1200,3000,22,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,65,2
GIB,Fyreline GBSC 60a,TE/TE,60/60/60,53,52,43,2 x 13mm GIB Fyreline,13/13,1200,3300,22,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,66,2
GIB,Fyreline GBSC 60a,TE/TE,60/60/60,53,52,43,2 x 13mm GIB Fyreline,13/13,1200,3600,22,Rondo Key-lock P128,Rondo Keylock Rondo P129,950,0.378,1200,650,0.468,600,FC140-142,1300,67,2
GIB,Fyreline GBSC 60b,TE/TE,60/60/60,50,49,43,1 x 16mm GIB Fyreline,16,1200,2400,15.3,Rondo Xpress XD21200,Rondo Xpress XD20600,950,0.378,1200,650,0.468,600,FC140-142,1300,68,3
GIB,Fyreline GBSC 60b,TE/TE,60/60/60,50,49,43,1 x 16mm GIB Fyreline,16,1200,2700,15.3,Rondo Xpress XD21200,Rondo Xpress XD20600,950,0.378,1200,650,0.468,600,FC140-142,1300,69,3
GIB,Fyreline GBSC 60b,TE/TE,60/60/60,50,49,43,1 x 16mm GIB Fyreline,16,1200,3000,15.3,Rondo Xpress XD21200,Rondo Xpress XD20600,950,0.378,1200,650,0.468,600,FC140-142,1300,70,3
GIB,Fyreline GBSC 90,TE/TE,90/90/90,53,52,43,1 x 13mm and 1 x 16mm GIB Fyreline,13/16,1200,2400,26.3,Rondo Xpress XDH1,Rondo Xpress XD21200,950,0.378,1200,650,0.468,600,FC140-142,1300,71,3
