Manufacturer,Name,NRC (ISO 354),Fire Rating (ISO 9705),Width (mm),Height (mm),Length (mm),Spacing (mm),Weight (kgs/m2),Channels Capacity (N)
USG Boral,Simplicity Baffles,,,25,35,3600,100,8.23,600
USG Boral,Simplicity Baffles,,,25,50,3600,100,8.4,600
USG Boral,Simplicity Baffles,,,25,75,3600,100,9.69,600
USG Boral,Simplicity Baffles,,,25,100,3600,100,11.43,600
USG Boral,Simplicity Baffles,,,25,150,3600,100,17.98,600
USG Boral,Simplicity Baffles,,,30,100,3600,100,11.34,600
USG Boral,Slim Baffles,,,15,50,3600,100,7.24,600
USG Boral,Slim Baffles,,,15,75,3600,100,8.66,600
USG Boral,Slim Baffles,,,15,100,3600,100,9.89,600
USG Boral,Slim Baffles,,,15,150,3600,100,17.44,600
USG Boral,Streamline Baffles,,,25,50,3600,100,8.28,600
USG Boral,Streamline Baffles,,,25,75,3600,100,9.61,600
USG Boral,Streamline Baffles,,,25,100,3600,100,10.87,600
USG Boral,Streamline Baffles,,,25,150,3600,100,17.5,600
Frontier Acoustic,Frontier Axis,0.7,"B - S2, d0",12,150,2400,300,2.4,600
Frontier Acoustic,Frontier Fins,1,"B - S2, d0",12,300,2400,100,2.4,600
Frontier Acoustic,Frontier Fins,0.9,"B - S2, d0",12,300,2400,200,2.4,600
Frontier Acoustic,Frontier Fins,0.75,"B - S2, d0",12,300,2400,300,2.4,600
Frontier Acoustic,Frontier Fins,1.05,"B - S2, d2",24,300,2400,100,4.8,600
Frontier Acoustic,Frontier Fins,0.9,"B - S2, d2",24,300,2400,200,4.8,600
Frontier Acoustic,Frontier Fins,0.85,"B - S2, d2",24,300,2400,300,4.8,600
Frontier Acoustic,Tundra,,,12,100,2400,100,2.4,600
Frontier Acoustic,Tundra,,,12,150,2400,150,2.4,600
Frontier Acoustic,Tundr,,,12,200,2400,200,2.4,600
Frontier Acoustic,Tundra,0.075,"B - S2, d0",12,300,2400,300,2.4,600
Frontier Acoustic,Tundra,,,24,100,2400,100,4.8,600
Frontier Acoustic,Tundra,,,24,150,2400,150,4.8,600
Frontier Acoustic,Tundra,,,24,200,2400,200,4.8,600
Frontier Acoustic,Tundra,0.85,"B - S2, d2",24,300,2400,300,4.8,600
Frontier Acoustic,Dune,0.075,"B - S2, d0",12,300,2400,300,2.4,600
Frontier Acoustic,Dune,0.85,"B - S2, d2",24,300,2400,300,4.8,600
Frontier Acoustic,Sierra,0.075,"B - S2, d0",12,300,2400,300,2.4,600
Frontier Acoustic,Sierra,0.85,"B - S2, d2",24,300,2400,300,4.8,600
Frontier Acoustic,Talus,0.075,"B - S2, d0",12,300,2400,300,2.4,600
Frontier Acoustic,Talus,0.85,"B - S2, d2",24,300,2400,300,4.8,600
Frontier Acoustic,Axis,0.7,"B - S2, d0",12,150,2400,300,2.4,600
Frontier Acoustic,Raft style (Beam 100),0.75,"B - S2, d0",70,87,2400,150,,600
Frontier Acoustic,Raft style (Beam 250),0.9,"B - S2, d0",70,227,2400,300,,600
Frontier Acoustic,Raft style (Blade),0.8,"B - S2, d0",70,247,2400,300,,600
Frontier Acoustic,Raft style (Trapezoid),0.95,"B - S2, d0",200,137,2400,300,,600
Asona,BB25.01.24,,,25,100,2400,,3,600
Asona,BB25.02.24,,,25,200,2400,,3,600
Asona,BB25.03.24,,,25,300,2400,,3,600
Asona,BB40.015.24,,,40,150,2400,,4.5,600
Asona,BB40.015.24,,,40,150,2400,,4.5,600
Asona,BB40.03.24,,,40,300,2400,,4.5,600
Asona,BB40.03.24,,,40,300,2400,,4.5,600
Asona,BB40.03.24,,,40,300,2400,,4.5,600
Asona,BB50.015.24,,,50,150,2400,,5.4,600
Asona,BB50.02.24,,,50,200,2400,,5.4,600
Asona,BB50.03.24,,,50,300,2400,,5.4,600
Asona,BB50.04.24,,,50,400,2400,,5.4,600
Asona,BB50.04.24,,,50,400,2400,,5.4,600
Asona,BB50.04.24,,,50,400,2400,,5.4,600
Asona,BB50.04.24,,,50,400,2400,,5.4,600
Asona,BB75.02.24,,,75,200,2400,,7.8,600
Asona,BB75.03.24,,,75,300,2400,,7.8,600
Asona,BB75.03.24,,,75,300,2400,,7.8,600
Asona,BB75.05.24,,,75,500,2400,,7.8,600
Asona,BB75.05.24,,,75,500,2400,,7.8,600
Asona,BB100.03.24,,,100,300,2400,,10.2,600
Asona,BB100.03.24,,,100,300,2400,,10.2,600
Asona,BB100.03.24,,,100,300,2400,,10.2,600
Nacci,Cedar 39x65 @ 18 spacing,,,39,65,2400,57,15.56578947,600
Nacci,Cedar 39x65 @ 36 spacing,,,39,65,2400,75,11.83,600
Nacci,Cedar 39x65 @ 61 spacing,,,39,65,2400,100,8.8725,600
Nacci,Cedar 39x65 @ 81 spacing,,,39,65,2400,120,7.39375,600
