ID,Manufacturer,Name,Main Tee Capacity (N),Main Tee Weight (kg/m),Cross Tee Capacity (N),Cross Tee Weight (kg/m),Perimeter Restraint,Perimeter Restraint Capacity (N)
0,Not Specified,Not Specified,900,0.4,900,0.4,,1300
1,Rondo,DONN DX1/DX2,900,0.347,900,0.333,XD17,1500
2,Rondo,DONN DX1H/DX2H,1400,0.403,1200,0.375,XD17,1500
3,Armstrong,Peakform Prelude 24 XL,900,0.305,900,0.292,BERC2 clip,1300
4,Armstrong,Peakform Suprafine XL2 15mm,500,0.312,500,0.29,BERC2 clip,1300
6,T&R Interiors,CBI Grid,1200,0.4,1100,0.350,2x3.2 mm rivet,1300
7,Ecoplus, FasTLock,1200,0.36,900,0.33,2x3.2 mm rivet,1300
8,Intex,2T36/2T212,900,0.347,900,0.333,XD17,1500
9,Owa,System S 3,900,0.347,900,0.347,Spc02,1500
10,Rondo,Duo,900,0.347,900,0.333,XD17,1500
