Manufacturer,Name,Length (mm),Width (mm),Thickness (mm),NRC (ASTM C 423),CAC (dB - ASTM E413-10),Rw (dB - EN ISO 10848),STC (ASTM E413),Fire Rating (ISO 5660 P1&2),Thermal Conductivity (W/mK - DIN 52612),Thermal Resistance (R value),Weight (kg/sqm)
Not Specified,4 kg/sqm,1200,600,,,,,,,,,4
Not Specified,4 kg/sqm,600,600,,,,,,,,,4
Not Specified,4 kg/sqm,1350,450,,,,,,,,,4
Eurocoustic,Minerval,1200,600,12,,,,,,,,1.3
Asona,Triton 25,1200,600,25,0.95,22,,,1-S,,0.7,1.5
Asona,Triton 25,600,600,25,0.95,22,,,1-S,,0.7,1.5
Asona,Triton 25,1200,300,25,0.95,22,,,1-S,,0.7,1.5
Asona,Triton 25,1800,600,25,0.95,22,,,1-S,,0.7,1.5
Asona,Triton 25,2400,600,25,0.95,22,,,1-S,,0.7,1.5
Asona,Triton 25,1200,1200,25,0.95,22,,,1-S,,0.7,1.5
Asona,Triton Hygiene 25,1200,600,25,0.9,22,,,2-S,,0.74,1.5
Asona,Triton Hygiene 25,600,600,25,0.9,22,,,2-S,,0.74,1.5
Asona,Triton Avant 15,1200,600,15,0.90,,,,1-S,,0.45,1.5
Asona,Triton Avant 15,600,600,15,0.90,,,,1-S,,0.45,1.5
Eurocoustic,Minerval,1200,600,15,,,,,,,,1.6
Eurocoustic,Minerval,600,600,15,,,,,,,,1.6
Eurocoustic,Acoustichoc A22,1200,600,25,,,,,,,,2.1
Eurocoustic,Tonga,1200,600,20,,,,,,,,2.2
Eurocoustic,Tonga,1200,600,22,,,,,,,,2.2
Eurocoustic,Tonga,600,600,20,,,,,,,,2.2
Eurocoustic,Tonga,600,600,22,,,,,,,,2.2
Eurocoustic,Tonga Ultraclean HP,1200,600,22,,,,,,,,2.2
Eurocoustic,Tonga Ultraclean HP,600,600,22,,,,,,,,2.2
Eurocoustic,Tonga Ultraclean A22,1200,600,22,,,,,,,,2.7
Eurocoustic,Tonga Ultraclean A22,600,600,22,,,,,,,,2.7
Asona,Triton 50,1200,600,50,1,30,,,1-S,,1.47,2.7
Asona,Triton 50,600,600,50,1,30,,,1-S,,1.47,2.7
Asona,Triton 50,2400,600,50,1,30,,,1-S,,1.47,2.7
Asona,Triton 50,1200,1200,50,1,30,,,1-S,,1.47,2.7
Armstrong,Ultima OP,1200,600,15,0.85,29,,,1-S,,,2.9
Armstrong,Ultima OP,600,600,15,0.85,29,,,1-S,,,2.9
AMF,Thermatex Thermofon,1200,600,15,0.85,28,,,1-S,0.038,,2.9
AMF,Thermatex Thermofon Black,1200,600,15,0.85,28,,,1-S,0.08,,2.9
AMF,Thermatex Antaris A,1200,600,19,0.9,26,,,1-S,0.04,,3
AMF,Thermatex Antaris A,600,600,19,0.9,26,,,1-S,0.04,,3
Armstrong,Fine Fissured,1200,600,16,0.6,35,,,1-S,,,3.1
Armstrong,Fine Fissured,600,600,16,0.6,35,,,1-S,,,3.1
Eurocoustic,Tonga,1200,600,40,,,,,,,,3.1
Eurocoustic,Tonga,600,600,40,,,,,,,,3.1
OWA,Sinfonia,1200,600,15,0.85,30,,,1-S,,,3.3
OWA,Sinfonia,600,600,15,0.85,30,,,1-S,,,3.3
OWA,Humancare Sinfonia,1200,600,15,0.85,30,,,1-S,,,3.3
OWA,Humancare Sinfonia,600,600,15,0.85,30,,,1-S,,,3.3
OWA,Humancare Pro,1200,600,20,0.95,24,,,1-S,,,3.3
OWA,Humancare Pro,600,600,20,0.95,24,,,1-S,,,3.3
Armstrong,Dune,1200,600,16,0.5,33,,,1-S,,,3.5
Armstrong,Dune,600,600,16,0.5,33,,,1-S,,,3.5
Armstrong,Ultima OP,1200,600,20,0.95,26,,,1-S,,,3.5
Armstrong,Ultima OP,600,600,20,0.95,26,,,1-S,,,3.5
AMF,Thermatex Star,1200,600,15,0.6,34,21,,1-S,0.057,,3.8
AMF,Thermatex Star,600,600,15,0.6,34,21,,1-S,0.057,,3.8
Armstrong,Fine Fissured High Acoustic,1200,600,15,0.7,35,,,1-S,,,3.9
Asona,Triton 30HD,1200,600,30,0.95,30,,,1-S,,0.88,3.9
