Manufacturer,Name,Edge Type,Thickness (mm),Width (mm),Length (mm),Weight (kg/sqm),NRC,alpha w,Fire Rating,STC,Rw,IIC,Index
Not Specified,Not Specified,Not Specified,10,1200,2400,7,,,,,,,
GIB,1 x 10mm Standard Plasterboard,TE/TE,10,1200,2400,7,,,,,,,3
GIB,1 x 10mm Standard Plasterboard,TE/TE,10,1200,2700,7,,,,,,,4
GIB,1 x 10mm Standard Plasterboard,TE/TE,10,1200,3000,7,,,,,,,5
GIB,1 x 10mm Standard Plasterboard,TE/TE,10,1200,3300,7,,,,,,,6
GIB,1 x 10mm Standard Plasterboard,TE/TE,10,1200,3600,7,,,,,,,7
GIB,1 x 10mm Standard Plasterboard,TE/TE,10,1200,4200,7,,,,,,,8
GIB,1 x 10mm Standard Plasterboard,TE/TE,10,1200,4800,7,,,,,,,9
GIB,1 x 10mm Standard Plasterboard,TE/TE,10,1200,6000,7,,,,,,,10
GIB,1 x 13mm Standard Plasterboard,TE/TE,13,1200,2400,9,,,,,,,11
GIB,1 x 13mm Standard Plasterboard,TE/TE,13,1200,2700,9,,,,,,,12
GIB,1 x 13mm Standard Plasterboard,TE/TE,13,1200,3000,9,,,,,,,13
GIB,1 x 13mm Standard Plasterboard,TE/TE,13,1200,3300,9,,,,,,,14
GIB,1 x 13mm Standard Plasterboard,TE/TE,13,1200,3600,9,,,,,,,15
GIB,1 x 13mm Standard Plasterboard,TE/TE,13,1200,4200,9,,,,,,,16
GIB,1 x 13mm Standard Plasterboard,TE/TE,13,1200,4800,9,,,,,,,17
GIB,1 x 13mm Standard Plasterboard,TE/TE,13,1200,6000,9,,,,,,,18
GIB,1 x 10mm Standard Plasterboard,TE/SE,10,1200,2400,7,,,,,,,19
GIB,1 x 10mm Standard Plasterboard,TE/SE,10,1200,3000,7,,,,,,,20
GIB,1 x 10mm Standard Plasterboard,TE/SE,10,1200,3600,7,,,,,,,21
GIB,1 x 10mm Standard Plasterboard,TE/SE,10,1200,4200,7,,,,,,,22
GIB,1 x 10mm Standard Plasterboard,TE/SE,10,1200,4800,7,,,,,,,23
GIB,1 x 10mm Standard Plasterboard,TE/SE,10,1200,6000,7,,,,,,,24
GIB,1 x 10mm Standard Plasterboard wideline,TE/SE,10,1350,3600,7,,,,,,,25
GIB,1 x 10mm Standard Plasterboard wideline,TE/SE,10,1350,4800,7,,,,,,,26
GIB,1 x 10mm Standard Plasterboard wideline,TE/SE,10,1350,6000,7,,,,,,,27
GIB,1 x 13mm Standard Plasterboard wideline,TE/SE,13,1350,4800,9,,,,,,,28
GIB,2 x 13mm Standard Plasterboard,TE/TE,26,1200,2400,18,,,,,,,29
GIB,1 x 10mm Noiseline,TE/TE,10,1200,2400,9.3,,,,,,,30
GIB,1 x 10mm Noiseline,TE/TE,10,1200,2700,9.3,,,,,,,31
GIB,1 x 10mm Noiseline,TE/TE,10,1200,3000,9.3,,,,,,,32
GIB,1 x 10mm Noiseline,TE/TE,10,1200,3600,9.3,,,,,,,33
GIB,1 x 10mm Noiseline,TE/TE,10,1200,4800,9.3,,,,,,,34
GIB,1 x 13mm Noiseline,TE/TE,13,1200,2400,12.5,,,,,,,35
GIB,2 x 13mm Noiseline,TE/TE,26,1200,2400,25,,,,,,,35
GIB,1 x 13mm Noiseline,TE/TE,13,1200,2700,12.5,,,,,,,36
GIB,1 x 13mm Noiseline,TE/TE,13,1200,3000,12.5,,,,,,,37
GIB,1 x 13mm Noiseline,TE/TE,13,1200,3600,12.5,,,,,,,38
GIB,1 x 10mm Noiseline,TE/SE,10,1200,4800,9.3,,,,,,,39
GIB,1 x 10mm Noiseline,TE/SE,10,1350,4800,9.3,,,,,,,40
GIB,1 x 10mm Aqualine,TE/TE,10,1200,2400,8,,,,,,,41
GIB,1 x 10mm Aqualine,TE/TE,10,1200,2700,8,,,,,,,42
GIB,1 x 10mm Aqualine,TE/TE,10,1200,3000,8,,,,,,,43
GIB,1 x 10mm Aqualine,TE/TE,10,1200,3600,8,,,,,,,44
GIB,1 x 13mm Aqualine,TE/TE,13,1200,2400,11,,,,,,,45
GIB,2 x 13mm Aqualine,TE/TE,26,1200,2400,22,,,,,,,45
GIB,1 x 13mm Aqualine,TE/TE,13,1200,2700,11,,,,,,,46
GIB,1 x 13mm Aqualine,TE/TE,13,1200,3000,11,,,,,,,47
GIB,1 x 13mm Aqualine,TE/TE,13,1200,3600,11,,,,,,,48
GIB,1 x 10mm Aqualine,TE/SE,10,1200,4800,8,,,,,,,49
GIB,1 x 10mm Aqualine,TE/SE,10,1350,3600,8,,,,,,,50
GIB,1 x 10mm Ultraline,TE/TE,10,1200,3600,7.5,,,,,,,51
GIB,1 x 10mm Ultraline,TE/TE,10,1200,4800,7.5,,,,,,,52
GIB,1 x 10mm Ultraline,TE/TE,10,1200,6000,7.5,,,,,,,53
GIB,1 x 13mm Ultraline,TE/TE,13,1200,3000,9.1,,,,,,,54
GIB,1 x 13mm Ultraline,TE/TE,13,1200,3600,9.1,,,,,,,55
GIB,1 x 13mm Ultraline,TE/TE,13,1200,4800,9.1,,,,,,,56
GIB,1 x 13mm Ultraline,TE/TE,13,1200,6000,9.1,,,,,,,57
GIB,1 x 10mm Fyreline,TE/TE,10,1200,2400,7,,,,,,,58
GIB,1 x 10mm Fyreline,TE/TE,10,1200,2700,7,,,,,,,59
GIB,1 x 10mm Fyreline,TE/TE,10,1200,3000,7,,,,,,,60
GIB,1 x 10mm Fyreline,TE/TE,10,1200,3600,7,,,,,,,61
GIB,1 x 13mm GIB Fyreline,TE/TE,13,1200,2400,11,,,,,,,62
GIB,1 x 13mm GIB Fyreline,TE/TE,13,1200,2700,11,,,,,,,63
GIB,1 x 13mm GIB Fyreline,TE/TE,13,1200,3000,11,,,,,,,64
GIB,1 x 13mm GIB Fyreline,TE/TE,13,1200,3300,11,,,,,,,65
GIB,1 x 13mm GIB Fyreline,TE/TE,13,1200,3600,11,,,,,,,66
GIB,2 x 13mm GIB Fyreline,TE/TE,13/13,1200,2400,22,,,,,,,67
GIB,2 x 13mm GIB Fyreline,TE/TE,13/13,1200,2700,22,,,,,,,68
GIB,2 x 13mm GIB Fyreline,TE/TE,13/13,1200,3000,22,,,,,,,69
GIB,2 x 13mm GIB Fyreline,TE/TE,13/13,1200,3300,22,,,,,,,70
GIB,2 x 13mm GIB Fyreline,TE/TE,13/13,1200,3600,22,,,,,,,71
GIB,1 x 16mm GIB Fyreline,TE/TE,16,1200,2400,15.3,,,,,,,72
GIB,1 x 16mm GIB Fyreline,TE/TE,16,1200,2700,15.3,,,,,,,73
GIB,1 x 16mm GIB Fyreline,TE/TE,16,1200,3000,15.3,,,,,,,74
GIB,1 x 13mm and 1 x 16mm GIB Fyreline,TE/TE,13/16,1200,2400,26.3,,,,,,,75
GIB,1 x 13mm and 1 x 16mm GIB Fyreline,TE/TE,13/16,1200,2700,26.3,,,,,,,76
GIB,1 x 13mm and 1 x 16mm GIB Fyreline,TE/TE,13/16,1200,3000,26.3,,,,,,,77
GIB,2 x 13mm GIB Fyreline,TE/TE,13/13,1200,2400,22,,,,,,,78
GIB,2 x 13mm GIB Fyreline,TE/TE,13/13,1200,2700,22,,,,,,,79
GIB,2 x 13mm GIB Fyreline,TE/TE,13/13,1200,3000,22,,,,,,,80
GIB,2 x 13mm GIB Fyreline,TE/TE,13/13,1200,3300,22,,,,,,,81
