ID,Lining,Weight (kg/sqm)
0,Other lining (weight to be entered using manual input),0
1,No lining,0
2,Not Specified,10
3,10mm Standard Plasterboard,7
4,13mm Standard Plasterboard,9
5,16 mm Standard Plasterboard,15
6,12mm MDF,8.5
7,18mm MDF,12.6
8,12mm Ply,6.7
9,15mm Ply,8.5
10,19mm Ply,10.5
11,10mm Noise Resistant Plasterboard,9.3
12,13mm Noise Resistant Plasterboard,12.5
13,10mm Water Resistant Plasterboard,8
14,13mm Water Resistant Plasterboard,10.2
15,13mm Fire Resistant Plasterboard,11
16,16mm Fire Resistant Plasterboard,15.3
17,10mm Bracing Plasterboard,9.7
18,13mm Bracing Plasterboard,12.5
19,16mm Bracing Plasterboard,14.6
20,13mm GIB Ultraline,9.1
21,10% GIB Quietline,8.3
22,20% GIB Quietline,7.4
23,Boral Echstop,10
24,Asona Stratopanel,10.5
25,13mm High Impact Plasterboard,11.7
26,16mm High Impact Plasterboard,14.6
27,FIBRE CEMENT 6mm,8
28,9mm Ply,5.4
29,"METAL SHEETING, GALVANISED 0.9mm",7.07
30,FIBRE CEMENT 9mm,12
31,FIBRE CEMENT 12mm,16
32,METAL PLATE - STAINLESS STEEL 2mm,15.6
33,FIBER CEMENT 6mm (RAB),8.6
34,Potters E Series 105 - 6 mm single glazing,15
35,Potters E Series 105 - 8 mm single glazing,20
36,Potters E Series 105 - 10 mm single glazing,25
37,Potters E Series 105 - 13 mm single glazing,30
38,Potters E Series 105 - 6 mm double glazing,30
39,Potters E Series 105 - 8 mm double glazing,40
40,Potters E Series 105 - 10 mm double glazing,50
41,Potters E Series 105 - 13 mm double glazing,60
