ID,Manufacturer,Systems,Name of Systems,FRR,STC (ASTM E413),Rw (db - EN ISO E989),IIC (ASTM E989),Name of Lining Side 1-1,Name of Lining Side 1-2,Name of Lining Side 1-3,Name of Lining Side 2-1,Name of Lining Side 2-2,Name of Lining Side 2-3,Name of Linings,Weight (kg/sqm),LB/NLB,Studs width (mm),Stud spacing max (mm)
0,Not specified,Not specified,Not specified,-,-,-,-,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,10,Not specified,35,600
1,GIB,Fire Rated Wall Systems - timber frame,GBSm 10,10/10/10,-,-,-,10mm GIB plasterboard,-,-,10mm GIB plasterboard,-,-,1 x 10mm GIB plasterboard each side,7,-,35,600
2,GIB,Fire Rated Wall Systems - timber frame,GBTL 30,30/30/30,33,34,-,10mm GIB Fyreline,-,-,10mm GIB Fyreline,-,-,1 x 10mm GIB Fyreline each side,9,Load bearing,35,600
3,GIB,Fire Rated Wall Systems - timber frame,GBTL 30b,30/30/30,35,35,-,13mm GIB Standard,-,-,13mm GIB Standard,-,-,1 x 13mm GIB Standard each side,9,Load bearing,35,600
4,GIB,Fire Rated Wall Systems - timber frame,GBTL 30c,30/30/30,33,34,-,10mm GIB Standard,-,-,10mm GIB Standard,-,-,1 x 10mm GIB Standard each side,7,Load bearing,35,600
5,GIB,Fire Rated Wall Systems - timber frame,GBTL 60,60/60/60,36,36,-,13mm GIB Fyreline,-,-,13mm GIB Fyreline,-,-,1 x 13mm GIB Fyreline each side,11,Load bearing,35,600
6,GIB,Fire Rated Wall Systems - timber frame,GBTL 60b,60/60/60,44,43,-,10mm GIB Fyreline,10mm GIB Fyreline,-,10mm GIB Fyreline,10mm GIB Fyreline,-,2 x 10mm GIB Fyreline each side,18,Load bearing,35,600
7,GIB,Fire Rated Wall Systems - timber frame,GBTL 90,90/90/90,36,37,-,16mm GIB Fyreline,-,-,1 x 16mm GIB Fyreline,-,-,1 x 16mm GIB Fyreline each side,15.3,Load bearing,35,600
8,GIB,Fire Rated Wall Systems - timber frame,GBT 120a,-/120/120,46,45,-,13mm GIB Fyreline,13mm GIB Fyreline,-,13mm GIB Fyreline,13mm GIB Fyreline,-,2 x 13mm GIB Fyreline each side,11,Non load bearing,35,600
9,GIB,Fire Rated Wall Systems - timber frame,GBT 120b,-/120/120,33,37,-,19mm GIB Fyreline,-,-,19mm GIB Fyreline,-,-,1 x 19mm GIB Fyreline each side,,Non load bearing,35,600
10,GIB,Fire Rated Wall Systems - timber frame,GBTL 120,120/120/120,45,45,-,16mm GIB Fyreline,16mm GIB Fyreline,-,16mm GIB Fyreline,16mm GIB Fyreline,-,2 x 16mm GIB Fyreline each side,30.6,Load bearing,35,600
11,GIB,Fire Rated Wall Systems - timber frame,GBT 180,-/180/180,45,45,-,16mm GIB Fyreline,16mm GIB Fyreline,-,16mm GIB Fyreline,16mm GIB Fyreline,-,2 x 16mm GIB Fyreline each side,30.6,Non load bearing,35,600
12,GIB,Fire Rated Wall Systems - steel frame,GBSL 15,15/15/15,35,35,-,13mm GIB Standard,-,-,13mm GIB Standard,-,-,1 x 13mm GIB Standard each side,9,Load bearing,35,600
