Substrate,Anchor,Anchor - Substrate,Diameter,Reference,Seismic category for concrete anchors,Relevant structure information,Design tension resistance [kN],Design shear resistance [kN],Unity limit,Max brace capacity [kg],Useable brace capacity [kg]
Not specified,Not specified,Not specified,6.14125,NA,NA,NA,2.468,4.15,0.7,205.181818181818,171.636363636364
Concrete (other than tray deck),Hilti HST3 M8 @ min. 50 mm embedment used with Hilti filler set,Hilti HST3 M8 @ min. 50 mm embedment used with Hilti filler set - Concrete (other than tray deck),8,https://drive.google.com/file/d/12oPUGIyMrvdJGqpaPzOkQ4IrP600-DWZ/view?usp=sharing,C2,Based on 25 MPa concrete,3,9.9,1.2,282,210
Concrete (other than tray deck),Hilti HUS3 M6 @ min. 55 mm emdebdment used without Hilti filler set,Hilti HUS3 M6 @ min. 55 mm emdebdment used without Hilti filler set - Concrete (other than tray deck),6,https://drive.google.com/file/d/148AGefJbcYIeEV_4SDT967w3DksTet7b/view?usp=sharing,C1,Based on 25 MPa concrete,4,2.5,1.2,188,188
Concrete (other than tray deck),Hilti HUS3 M6 @ min. 55 mm emdebdment used with Hilti filler set,Hilti HUS3 M6 @ min. 55 mm emdebdment used with Hilti filler set - Concrete (other than tray deck),6,https://drive.google.com/file/d/148AGefJbcYIeEV_4SDT967w3DksTet7b/view?usp=sharing,C1,Based on 25 MPa concrete,4,5,1.2,272,210
Concrete (other than tray deck),Hilti HUS3 M8 @ min. 70 mm emdebdment used without Hilti filler set,Hilti HUS3 M8 @ min. 70 mm emdebdment used without Hilti filler set - Concrete (other than tray deck),8,https://drive.google.com/file/d/148AGefJbcYIeEV_4SDT967w3DksTet7b/view?usp=sharing,C2,Based on 25 MPa concrete,3.2,5.4,1.2,246,210
Tray deck (e.g. Comflor),Hilti HST3 M8 @ min 50 mm embedment used without Hilti filler set,Hilti HST3 M8 @ min 50 mm embedment used without Hilti filler set - Tray deck (e.g. Comflor),8,https://drive.google.com/file/d/12oPUGIyMrvdJGqpaPzOkQ4IrP600-DWZ/view?usp=sharing,?,Based on 30 MPa concrete,5.3,9.04,1.2,409,210
Tray deck (e.g. Comflor),Hilti HUS3 M6 @ min 40 mm embedment used without Hilti filler set,Hilti HUS3 M6 @ min 40 mm embedment used without Hilti filler set - Tray deck (e.g. Comflor),6,https://drive.google.com/file/d/1FomiEgT93Uz2yFPvOISf60UYfI5kdh7h/view?usp=sharing,?,Based on 30 MPa concrete,1.4,2.87,1.2,115,115
Cold formed steel,8g self tapping screw,8g self tapping screw - Cold formed steel,4.2,https://docs.google.com/spreadsheets/d/1-QWqLHrCFoGjdWaGNCirtTFP8qf1E7P0IV_LcsqihcA/edit?usp=sharing,NA,Connection into minimum 1.15 mm BMT stud 330 MPa UTS,0.68,1.75,1,,
Cold formed steel,10g self tapping screw,10g self tapping screw - Cold formed steel,4.88,https://docs.google.com/spreadsheets/d/1-QWqLHrCFoGjdWaGNCirtTFP8qf1E7P0IV_LcsqihcA/edit?usp=sharing,NA,Connection into minimum 1.15 mm BMT stud 330 MPa UTS,0.79,1.89,1,57,57
Cold formed steel,14g self tapping screw,14g self tapping screw - Cold formed steel,6.3,https://docs.google.com/spreadsheets/d/1-QWqLHrCFoGjdWaGNCirtTFP8qf1E7P0IV_LcsqihcA/edit?usp=sharing,NA,Connection into minimum 1.15 mm BMT stud 330 MPa UTS,1.01,2.15,1,,
Cold formed steel,cl 4.6 M6 bolt,cl 4.6 M6 bolt - Cold formed steel,6,by inspection,NA,Connection into minimum 1.15 mm BMT stud 330 MPa UTS,,,0,,
Cold formed steel,cl 4.6 M8 bolt,cl 4.6 M8 bolt - Cold formed steel,8,by inspection,NA,Connection into minimum 1.15 mm BMT stud 330 MPa UTS,,,0,210,210
Structural steel,cl 4.6 M6 bolt,cl 4.6 M6 bolt - Structural steel,6,by inspection,NA,,,,0,,
Structural steel,cl 4.6 M8 bolt,cl 4.6 M8 bolt - Structural steel,8,by inspection,NA,,,,0,210,210
Timber,cl 4.6 M8 bolt,cl 4.6 M8 bolt - Timber,8,by inspection,NA,,,,0,210,210
Timber,10g screw @ min. 30 mm embedment,10g screw @ min. 30 mm embedment - Timber,4.88,https://docs.google.com/spreadsheets/d/1-QWqLHrCFoGjdWaGNCirtTFP8qf1E7P0IV_LcsqihcA/edit?usp=sharing,NA,Min. timber grade SG8 Dry timber assumed,1.3,1,1,58,58
Timber,cl 4.6 M8 bolt,cl 4.6 M8 bolt - Timber,0,by inspection,NA,Min. timber grade SG8 Dry timber assumed,0,0,0,210,210
