Manufacturer,Type,Fin Thickness (mm),Fin Depth (mm),Fin Spacing (mm),Density (kg/m2),Linear Mass (kg/m)
Autex Acoustics,Fins Tundra,12,100,100,2.4,0.24
Autex Acoustics,Fins Tundra,12,100,150,2.4,0.24
Autex Acoustics,Fins Tundra,12,100,200,2.4,0.24
Autex Acoustics,Fins Tundra,12,100,250,2.4,0.24
Autex Acoustics,Fins Tundra,12,100,300,2.4,0.24
Autex Acoustics,Fins Tundra,12,100,350,2.4,0.24
Autex Acoustics,Fins Tundra,12,100,400,2.4,0.24
Autex Acoustics,Fins Tundra,12,150,100,2.4,0.36
Autex Acoustics,Fins Tundra,12,150,150,2.4,0.36
Autex Acoustics,Fins Tundra,12,150,200,2.4,0.36
Autex Acoustics,Fins Tundra,12,150,250,2.4,0.36
Autex Acoustics,Fins Tundra,12,150,300,2.4,0.36
Autex Acoustics,Fins Tundra,12,150,350,2.4,0.36
Autex Acoustics,Fins Tundra,12,150,400,2.4,0.36
Autex Acoustics,Fins Tundra,12,200,100,2.4,0.48
Autex Acoustics,Fins Tundra,12,200,150,2.4,0.48
Autex Acoustics,Fins Tundra,12,200,200,2.4,0.48
Autex Acoustics,Fins Tundra,12,200,250,2.4,0.48
Autex Acoustics,Fins Tundra,12,200,300,2.4,0.48
Autex Acoustics,Fins Tundra,12,200,350,2.4,0.48
Autex Acoustics,Fins Tundra,12,200,400,2.4,0.48
Autex Acoustics,Fins Tundra,12,300,100,2.4,0.72
Autex Acoustics,Fins Tundra,12,300,150,2.4,0.72
Autex Acoustics,Fins Tundra,12,300,200,2.4,0.72
Autex Acoustics,Fins Tundra,12,300,250,2.4,0.72
Autex Acoustics,Fins Tundra,12,300,300,2.4,0.72
Autex Acoustics,Fins Tundra,12,300,350,2.4,0.72
Autex Acoustics,Fins Tundra,12,300,400,2.4,0.72
Autex Acoustics,Fins Tundra,24,100,100,3.6,0.36
Autex Acoustics,Fins Tundra,24,100,150,3.6,0.36
Autex Acoustics,Fins Tundra,24,100,200,3.6,0.36
Autex Acoustics,Fins Tundra,24,100,250,3.6,0.36
